"Ag",2.5,10.5,4.
"Ag",2.5,11.,3.5
"Au",2.5,11.5,3.
"Au",2.5,12.,2.5
"Au",2.5,12.5,2.
"Au",2.5,13.,1.5
"Au",2.5,13.5,1.
"Ag",2.5,14.,0.5
"Au",2.5,14.5,0.
"Ag",3.,0.,14.
"Ag",3.,0.5,13.5
"Au",3.,1.,13.
"Ag",3.,1.5,12.5
"Ag",3.,2.,12.
"Ag",3.,2.5,11.5
"Ag",3.,3.,11.
"Au",3.,3.5,10.5
"Ag",3.,4.,10.
"Au",3.,4.5,9.5
"Ag",3.,5.,9.
"Au",3.,5.5,8.5
"Au",3.,6.,8.
"Ag",3.,6.5,7.5
"Ag",3.,7.,7.
"Au",3.,7.5,6.5
"Au",3.,8.,6.
"Au",3.,8.5,5.5
"Ag",3.,9.,5.
"Ag",3.,9.5,4.5
"Au",3.,10.,4.
"Au",3.,10.5,3.5
"Au",3.,11.,3.
"Ag",3.,11.5,2.5
"Au",3.,12.,2.
"Au",3.,12.5,1.5
"Ag",3.,13.,1.
"Ag",3.,13.5,0.5
"Ag",3.,14.,0.
"Ag",3.5,0.,13.5
"Ag",3.5,0.5,13.
"Ag",3.5,1.,12.5
"Ag",3.5,1.5,12.
"Au",3.5,2.,11.5
"Ag",3.5,2.5,11.
"Ag",3.5,3.,10.5
"Au",3.5,3.5,10.
"Ag",3.5,4.,9.5
"Ag",3.5,4.5,9.
"Ag",3.5,5.,8.5
"Au",3.5,5.5,8.
"Ag",3.5,6.,7.5
"Au",3.5,6.5,7.
"Au",3.5,7.,6.5
"Au",3.5,7.5,6.
"Ag",3.5,8.,5.5
"Au",3.5,8.5,5.
"Ag",3.5,9.,4.5
"Au",3.5,9.5,4.
"Au",3.5,10.,3.5
"Ag",3.5,10.5,3.
"Ag",3.5,11.,2.5
"Ag",3.5,11.5,2.
"Ag",3.5,12.,1.5
"Au",3.5,12.5,1.
"Ag",3.5,13.,0.5
"Ag",3.5,13.5,0.
"Ag",4.,0.,13.
"Ag",4.,0.5,12.5
"Au",4.,1.,12.
"Ag",4.,1.5,11.5
"Ag",4.,2.,11.
"Au",4.,2.5,10.5
"Au",4.,3.,10.
"Ag",4.,3.5,9.5
"Ag",4.,4.,9.
"Au",4.,4.5,8.5
"Au",4.,5.,8.
"Au",4.,5.5,7.5
"Au",4.,6.,7.
"Au",4.,6.5,6.5
"Ag",4.,7.,6.
"Ag",4.,7.5,5.5
"Ag",4.,8.,5.
